Timestamp,Transaction Type,Asset,Quantity Transacted,USD Spot Price at Transaction,USD Subtotal,USD Total (inclusive of fees),USD Fees,Notes
2021-06-24T13:34:16Z,Buy,BTC,0.00284182,34136.57,97.01,100.00,2.99,Bought 0.00284182 BTC for $100.00 USD
2021-06-24T13:36:44Z,Send,BTC,0.00121992,33929.94,"","","",Sent 0.00121992 BTC to xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
2021-07-11T18:06:32Z,Send,BTC,0.0016219,33868.14,"","","",Sent 0.0016219 BTC to xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
2021-08-20T19:01:58Z,Buy,BTC,0.02020729,48760.62,985.32,1000.00,14.68,"Bought 0.02020729 BTC for $1,000.00 USD"
2021-02-18T20:26:08Z,Buy,ETH,0.10113911,1947.91,197.01,200.00,2.99,Bought 0.10113911 ETH for $200.00 USD
2021-02-19T15:10:09Z,Buy,ETH,2.55325916,1929.53,4926.59,5000.00,73.41,"Bought 2.55325916 ETH for $5,000.00 USD"
2021-03-29T21:56:34Z,Buy,ADA,1632.868321,1.21,1970.64,2000.00,29.36,"Bought 1,632.868321 ADA for $2,000.00 USD"
2021-03-30T20:54:27Z,Send,ADA,1632.868321,1.22,"","","","Sent 1,632.868321 ADA to xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"
2021-04-12T17:36:13Z,Buy,ADA,3054.975182,1.29,3941.28,4000.00,58.72,"Bought 3,054.975182 ADA for $4,000.00 USD"
2021-04-18T16:52:40Z,Send,ADA,3054.975182,1.25,"","","","Sent 3,054.975182 ADA to xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"
2021-05-18T22:42:53Z,Send,ADA,232.248562,2.03,"","","",Sent 232.248562 ADA to xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
